floor_rate,floor_class,transactions,transaction_share,runtime_bal_bytes,runtime_bal_byte_share,incremental_bal_floor_gas,incremental_bal_floor_gas_share
71,newly floor-bound through other non-code BAL,17212,0.009060149030292439,19987877.0,0.027773837329164993,305138080.2661411,0.13633937287617537
71,unaffected,1846405,0.971921012681682,668720083.0,0.9292093804653547,0.0,0.0
72,already floor-bound under static EIP-8131,27734,0.014598778364288316,16744314.0,0.02326679582951506,1267794288.0,0.5303955183005697
72,within 10% of static floor,8794,0.004629035008853806,10190202.0,0.01415963349681068,551424712.0514,0.23069452096493803
72,newly floor-bound primarily because of deployed code,470,0.0002474012342689662,5598162.0,0.0077788371786715,249032457.64331564,0.10418543504700746
72,newly floor-bound through other non-code BAL,18711,0.009849201051928992,19940245.0,0.02770765103936229,322029463.3472185,0.13472452568748464
72,unaffected,1844039,0.9706755843406599,667192738.0,0.9270870824556404,0.0,0.0
73,already floor-bound under static EIP-8131,28425,0.014962510817224179,17723234.0,0.024627038582573136,1365210668.0,0.5368145298947978
73,within 10% of static floor,9002,0.004738523214657944,10582699.0,0.014705021475243071,583926448.1096793,0.229605737108946
73,newly floor-bound primarily because of deployed code,473,0.000248980391083449,5604154.0,0.007787163267193875,254788037.02442446,0.10018521208778362
73,newly floor-bound through other non-code BAL,21437,0.011284128210688997,20698151.0,0.028760787295643943,339244958.65021724,0.13339452090847306
73,unaffected,1840411,0.9687658573663455,665057423.0,0.9241199893793459,0.0,0.0
74,already floor-bound under static EIP-8131,29151,0.015344666766329007,18732295.0,0.02602916328392109,1466534516.0,0.5437006595417951
74,within 10% of static floor,8954,0.00471325670562622,10707982.0,0.014879106479974178,607127808.0367147,0.22508559195460912
74,newly floor-bound primarily because of deployed code,473,0.000248980391083449,5604435.0,0.007787553726285128,260560913.00592697,0.09659993590777158
74,newly floor-bound through other non-code BAL,23767,0.012510606669937276,21811668.0,0.030308057174343907,363096492.59668875,0.13461381259582453
74,unaffected,1837403,0.967182489467024,662809281.0,0.9209961193354756,0.0,0.0
75,already floor-bound under static EIP-8131,29906,0.015742087897973836,19896368.0,0.0276466824502274,1582639125.0,0.554812326351551
75,within 10% of static floor,8830,0.004647984890627599,10116426.0,0.014057119226645997,598015873.2239888,0.20964133426093293
