design,stress,start,data_limit,peak_data_fee_multiple,recovery_blocks_median,recovery_fraction,data_limit_hit_fraction,data_offered_limit_pressure_fraction,data_cap_active_fraction,data_scale_determining_fraction,longest_data_limit_run,rationed_data,execution_fill,execution_floor_bounded_fraction
E225_D45,execution_access,warm,90000000.0,58.18035531145191,,0.0,0.055225694444444445,0.05588541666666667,0.055225694444444445,0.055225694444444445,5.708333333333333,1726620.0959942972,0.9710726741078394,0.22132523148148145
E250_D60,execution_access,warm,90000000.0,63.8298385273013,,0.0,0.19262731481481485,0.19346643518518522,0.19262731481481485,0.19262731481481485,8.708333333333334,7584730.957355231,0.9717783967395992,0.24170717592592594
E300_D77,execution_access,warm,90000000.0,24.816203703703703,5872.5,0.3333333333333333,0.5236284722222222,0.5238831018518518,0.5236284722222222,0.5236284722222222,21.791666666666668,32604026.906963047,0.8115009981423894,0.727824074074074
E300_D80,execution_access,warm,90000000.0,19.227777777777778,5721.0,0.5833333333333334,0.6019733796296296,0.6021469907407407,0.6019733796296296,0.6019733796296296,27.875,41874197.946427196,0.7764593335482904,0.7890104166666667
E300_D85,execution_access,warm,90000000.0,6.9305555555555545,4625.0,0.9166666666666666,0.6976446759259259,0.6977546296296296,0.6976446759259259,0.6976446759259259,43.666666666666664,58575845.26034373,0.7130627396422262,0.8779456018518518
E200_D45,execution_access,cold,90000000.0,53.04068774827696,,0.0,0.05593171296296296,0.05660300925925926,0.05593171296296296,0.05593171296296296,5.791666666666667,1788337.3014212686,0.9760900639596332,0.03974537037037037
E225_D45,execution_access,cold,90000000.0,48.20613284897883,,0.0,0.054021990740740745,0.05465277777777778,0.054021990740740745,0.054021990740740745,5.708333333333333,1685346.7976055604,0.9534454997646868,0.20664930555555552
E250_D60,execution_access,cold,90000000.0,57.98956172081416,,0.0,0.18951388888888887,0.1903414351851852,0.18951388888888887,0.18951388888888887,8.708333333333334,7449915.966158904,0.9537458049919638,0.22993055555555555
E300_D77,execution_access,cold,90000000.0,23.123181216931215,5872.5,0.3333333333333333,0.5165914351851852,0.5168460648148149,0.5165914351851852,0.5165914351851852,21.791666666666668,32143992.53406349,0.7974837411196539,0.702048611111111
E300_D80,execution_access,cold,90000000.0,18.02350768321513,5721.0,0.5,0.5941782407407407,0.5943518518518518,0.5941782407407407,0.5941782407407407,27.875,41279698.09150421,0.76316897864814,0.7630497685185186
E300_D85,execution_access,cold,90000000.0,6.483333333333333,4625.0,0.9166666666666666,0.6889467592592592,0.6890509259259258,0.6889467592592592,0.6889467592592592,43.666666666666664,57834950.73124623,0.7008725853726487,0.8511226851851852
E200_D45,broad_persistent,warm,90000000.0,88.00341476585038,5999.0,0.041666666666666664,0.05596643518518518,0.05652199074074074,0.05596643518518518,0.05596643518518518,5.75,1751508.0777303912,0.9939122733720724,0.03193287037037037
E225_D45,broad_persistent,warm,90000000.0,80.81671111004158,5998.0,0.041666666666666664,0.05367476851851852,0.05413773148148149,0.05367476851851852,0.05367476851851852,5.583333333333333,1634143.9982297607,0.975867307445994,0.17603587962962963
E250_D60,broad_persistent,warm,90000000.0,89.70302190962529,5999.0,0.041666666666666664,0.1911053240740741,0.1919212962962963,0.1911053240740741,0.1911053240740741,8.583333333333334,7371010.975772719,0.979071419688652,0.17895833333333333
E300_D77,broad_persistent,warm,90000000.0,44.594675925925934,5925.5,0.3333333333333333,0.5254340277777777,0.5258449074074075,0.5254340277777777,0.5254340277777777,22.333333333333332,32315747.70150088,0.8487721692899461,0.6546585648148149
E300_D80,broad_persistent,warm,90000000.0,34.50833333333333,5590.0,0.4166666666666667,0.6126967592592593,0.6129282407407407,0.6126967592592593,0.6126967592592593,28.791666666666668,42754420.475022756,0.8106636882074407,0.7309606481481481
E300_D85,broad_persistent,warm,90000000.0,10.666666666666666,4781.5,0.9166666666666666,0.7368865740740741,0.7370081018518518,0.7368865740740741,0.7368865740740741,46.125,66250240.02756626,0.722520886562844,0.8723148148148149
E200_D45,broad_persistent,cold,90000000.0,73.25548900183897,,0.0,0.05458912037037037,0.05512152777777777,0.05458912037037037,0.05458912037037037,5.75,1705931.960908344,0.9773226597102443,0.028993055555555553
E225_D45,broad_persistent,cold,90000000.0,68.43785667953698,,0.0,0.05247106481481482,0.052905092592592594,0.05247106481481482,0.05247106481481482,5.583333333333333,1592883.4560217112,0.9582403733839538,0.1613599537037037
E250_D60,broad_persistent,cold,90000000.0,81.74218293825257,5999.0,0.041666666666666664,0.18799189814814818,0.18879629629629627,0.18799189814814818,0.18799189814814818,8.583333333333334,7236480.645945874,0.9610386142475611,0.16719328703703704
E300_D77,broad_persistent,cold,90000000.0,42.66517857142857,5902.0,0.2916666666666667,0.5184085648148148,0.5188252314814814,0.5184085648148148,0.5184085648148148,22.333333333333332,31855750.934066445,0.8347514991814314,0.628900462962963
E300_D80,broad_persistent,cold,90000000.0,33.14623226950355,5751.0,0.4166666666666667,0.6049189814814815,0.605150462962963,0.6049189814814815,0.6049189814814815,28.791666666666668,42161114.334050916,0.797368832937785,0.7050057870370371
E300_D85,broad_persistent,cold,90000000.0,10.041666666666666,4781.5,0.9166666666666666,0.7282060185185184,0.7283217592592592,0.7282060185185184,0.7282060185185184,46.125,65508442.73531545,0.7103374811779066,0.8455150462962964
